year,Total_costAnnual
2020,24.464000000000002
2021,131.15438794387217
2022,229.5853740465667
2023,305.4215414127875
2024,474.54878539841127
2025,660.4239600588223
2026,913.2412139692125
2027,1074.2558175230706
2028,1173.4948769190712
2029,1262.787254434851
2030,1334.2770707135983
2031,1386.663713255785
2032,1418.7401299763142
2033,1429.3124816289346
2034,1417.9261107704535
2035,1385.5696399492886
2036,1332.1236080166634
2037,1260.2880540389415
2038,1173.8989820863842
2039,1070.3938102171257
2040,955.0980000531056
2041,822.1439511106844
2042,675.7691039609067
2043,540.0814277305055
2044,381.91721977214956
2045,367.32841300743314
2046,352.73457904503823
2047,338.1341007529344
2048,323.52536169687545
2049,220.5375475721693
2050,204.12653783670797
