year,Total_ghgAnnual
2020,488000.0
2021,1439036.0506785456
2022,2458194.5113485046
2023,3543298.2324834727
2024,4696105.350403211
2025,5917044.090533496
2026,7204109.236823069
2027,8558661.398617828
2028,9982984.809815336
2029,11471685.509140851
2030,13018233.37029642
2031,14633022.911164012
2032,16316463.417533267
2033,18068724.860945307
2034,19890440.981592957
2035,21780985.130016364
2036,23680555.745482422
2037,25532371.65875845
2038,27406627.786342777
2039,29304668.262710933
2040,31238676.5993668
2041,33159809.272571743
2042,35108821.15888857
2043,37087103.786513984
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44336996.3836327
2050,46630773.18084035
