year,purCO2LULUCF
2020,1.112
2021,3.6606639493214557
2022,5.831405488651497
2023,7.645935100849863
2024,9.122027982930124
2025,10.278789242799842
2026,11.137757429843598
2027,11.71710526804884
2028,12.034081856851333
2029,12.113614490859154
2030,11.981766629703582
2031,11.647677088835989
2032,11.130469915800068
2033,10.449508472388025
2034,9.623692351740377
2035,8.6731815366503
2036,7.677310921184247
2037,6.7123950079082135
2038,5.727772213657225
2039,4.741631737289072
2040,3.761323400633202
2041,2.846590727428257
2042,1.9330455077780968
2043,0.9870295468193504
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
