year,costAnnualAgri
2020,0.0
2021,12012142.731495757
2022,23711885.68187127
2023,35074295.1550262
2024,46115314.64135414
2025,56835452.04525788
2026,67279488.98520005
2027,77424414.38558507
2028,87321083.35750742
2029,96735029.13492885
2030,105489505.43716785
2031,113861422.38600233
2032,121846725.78194126
2033,129426688.69550718
2034,136612753.37853172
2035,143384692.26205102
2036,149749173.2671054
2037,155289983.77849096
2038,159367813.53260526
2039,161968274.93652153
2040,163788310.3452051
2041,164116337.7085684
2042,163626698.37425458
2043,162250627.76400197
2044,159525184.4210128
2045,151419199.29515654
2046,143313214.16930023
2047,135207229.04344395
2048,127101243.91758767
2049,118995258.7917314
2050,110889273.66587509
