year,Total_costAnnual
2020,24.464000000000002
2021,132.38453424539355
2022,232.87209472149516
2023,302.22289363248103
2024,467.7622437027069
2025,653.0311253910276
2026,914.7723695603171
2027,1086.1827529984869
2028,1198.555351031489
2029,1299.7875311529815
2030,1389.2519646694127
2031,1465.080462303692
2032,1525.1260422307273
2033,1568.5883837368867
2034,1597.3980823479983
2035,1609.3472905957083
2036,1603.0536368440403
2037,1579.6288413257826
2038,1540.8747554612605
2039,1486.2747717772927
2040,1418.6662847452717
2041,1335.620960648416
2042,1234.1406653792792
2043,1122.3625143831187
2044,978.4289961777833
2045,805.1782335692669
2046,587.2343974586929
2047,584.1668738673299
2048,581.0910895975885
2049,187.96666368131477
2050,176.91132990760573
