year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2465322.82997203
2023,4386234.247657491
2024,19363181.451627642
2025,34248432.51237449
2026,48909564.39462938
2027,63407851.19746393
2028,77626862.70148115
2029,91604480.92611577
2030,105800344.41570356
2031,120017234.96181378
2032,133792491.32414062
2033,147039991.86100692
2034,160060549.6376666
2035,172465369.17376584
2036,184208942.37403393
2037,194696309.37345043
2038,203229514.56210968
2039,198123263.96968293
2040,193017013.37725618
2041,187910762.78482947
2042,182804512.19240263
2043,177698261.59997594
2044,172592011.00754917
2045,167485760.41512242
2046,162379509.8226956
2047,157273259.2302688
2048,152167008.6378422
2049,147060758.04541537
2050,141954507.45298865
