year,Total_ghgAnnual
2020,488000.0
2021,1440332.0959258068
2022,2485904.402269913
2023,3606201.643238662
2024,4849534.988360595
2025,6166395.953493908
2026,7556255.665509742
2027,9021933.366977828
2028,10557234.98189694
2029,12164848.632037994
2030,13846298.743760463
2031,15599932.187333222
2032,17428850.165011797
2033,19332698.436602533
2034,21171359.886626966
2035,23048433.097503055
2036,24966978.036880694
2037,26903023.590859223
2038,28807625.277302384
2039,30695460.23971025
2040,32570760.54917778
2041,34497126.61509792
2042,36362028.644639485
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44130950.003368564
2050,45900428.60796825
