year,Total_costAnnual
2020,24.464000000000002
2021,122.9584990316883
2022,224.76255595101193
2023,297.68762238488114
2024,461.4373244140514
2025,639.2511576690083
2026,882.3790318819821
2027,1034.976884364744
2028,1129.2402419785121
2029,1206.3450292070959
2030,1264.5348439534903
2031,1302.2267347489778
2032,1318.0085865831654
2033,1310.671558284485
2034,1279.4755328598221
2035,1225.0969649063397
2036,1147.1381525329805
2037,1048.0438664862581
2038,931.4715580330266
2039,796.4736602828197
2040,671.943461171865
2041,533.3822060510281
2042,418.25304776245616
2043,389.04053868898336
2044,379.5617155527485
2045,370.0811877085852
2046,360.5981462349008
2047,351.11178256604603
2048,341.621288485259
2049,177.20722035800085
2050,164.54668426946165
