year,costAnnualFMs
2020,0.0
2021,27720885.75613204
2022,30620302.84777979
2023,34368148.086323366
2024,39057359.53264053
2025,44780875.24760902
2026,51631633.2921066
2027,59702571.727011
2028,69086628.61319998
2029,79876742.01155132
2030,92165849.98294275
2031,106046890.58825202
2032,121612801.88835682
2033,138956521.94413504
2034,158170988.81646428
2035,179349140.56622237
2036,202553499.1783472
2037,223694155.82362
2038,229828105.60958302
2039,235964734.36775604
2040,242104066.04341033
2041,248246124.58181727
2042,254390933.92824835
2043,260538518.02797484
2044,266672301.4898039
2045,272764383.8958058
2046,278846581.76335526
2047,284919626.6584831
2048,328749451.5359667
2049,0.0
2050,0.0
