year,Total_costAnnual
2020,24.464000000000002
2021,131.96606306298108
2022,234.62852224889647
2023,308.64289054296273
2024,473.7380921591075
2025,653.1789208609885
2026,898.240584514008
2027,1057.5013778520417
2028,1153.7880363680067
2029,1233.2861585411351
2030,1294.2639444183278
2031,1335.1630063953642
2032,1354.5957529415698
2033,1351.3778237591564
2034,1324.7935377795234
2035,1275.5437381028694
2036,1211.381245979326
2037,1128.7637503705855
2038,1031.6606196217663
2039,919.3457043737253
2040,800.344621550317
2041,667.6062353308641
2042,548.8813972165892
2043,418.0236171255418
2044,408.56605393469124
2045,399.10576323240076
2046,389.6414507438676
2047,380.171822763803
2048,370.69558614513994
2049,178.92336789348056
2050,165.71887708245475
