year,costAnnualFMs
2020,0.0
2021,22796885.81121183
2022,24970918.01831234
2023,27729361.546891436
2024,31136238.722153623
2025,35255571.86930342
2026,40151383.313545346
2027,45887695.38008386
2028,52528530.39412355
2029,60137910.68086889
2030,68779858.56552435
2031,78518396.37329456
2032,89417546.4293839
2033,101541331.05899693
2034,114953772.58733815
2035,129718893.33961214
2036,133481943.78274244
2037,137246748.28031754
2038,141013322.79585165
2039,144781683.29285902
2040,148551845.73485398
2041,152323826.08535063
2042,156097640.30786356
2043,159873304.36590672
2044,163620231.98608205
2045,167364432.09481716
2046,171104610.41730994
2047,174839473.248271
2048,178567727.44063368
2049,0.0
2050,0.0
