year,ghgAbateAnnualFMs
2020,488000.0
2021,1125918.7455748
2022,1801913.1725792796
2023,2516310.70964516
2024,3269438.78540416
2025,4061624.8284879997
2026,4893196.267528401
2027,5764480.531157079
2028,6675805.048005761
2029,7627497.246706162
2030,8619884.555890001
2031,9653294.404189
2032,10728054.22023488
2033,11844491.432659362
2034,13002933.470094163
2035,14203707.761171002
2036,15447141.734521601
2037,16733562.818777682
2038,18063298.442570962
2039,19436676.03453316
2040,20853562.625439316
2041,22314614.455488224
2042,23820262.68152372
2043,25370834.73217757
2044,26966658.036081444
2045,28608060.02186709
2046,30295368.118166223
2047,31899311.59215542
2048,32431578.258822083
2049,34254493.11245501
2050,36024538.647427395
