year,Total_costAnnual
2020,24.464000000000002
2021,144.2135768450153
2022,260.1813925969618
2023,346.62543430621986
2024,529.4724451411383
2025,729.6099627093795
2026,1003.0385936267846
2027,1183.6947910194397
2028,1300.6123142067327
2029,1403.81152938258
2030,1491.8920675217107
2031,1563.6585288939903
2032,1618.1205160498057
2033,1654.5279275404946
2034,1672.6394895892838
2035,1673.6739267866806
2036,1657.8228174447277
2037,1628.1710858254114
2038,1589.0165377898854
2039,1539.9831621424962
2040,1489.753430447968
2041,1431.851049690973
2042,1365.76533501004
2043,1282.797840027854
2044,1171.0882763097939
2045,1021.564171836911
2046,829.0081074194023
2047,592.1791173597728
2048,581.3165937294332
2049,210.9685709652726
2050,192.74563484533522
