year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15754504.101355482
2023,27677119.714418337
2024,41813772.80834264
2025,55825947.10955221
2026,69645381.96798393
2027,83215938.92052606
2028,104926981.32661447
2029,125904166.06124522
2030,146507278.71349958
2031,166501091.4473426
2032,185393228.1469537
2033,202750909.7885193
2034,218883533.87734136
2035,233173709.79865727
2036,244824187.10539117
2037,254363649.38276196
2038,261572636.0080889
2039,265780923.35299686
2040,265360331.45411882
2041,262792082.51185852
2042,249732755.31422198
2043,236673428.11658555
2044,223614100.9189489
2045,210554773.7213124
2046,197495446.52367583
2047,184436119.32603937
2048,171376792.12840292
2049,158317464.9307664
2050,145258137.73312983
