year,costAnnualAgri
2020,0.0
2021,3222977.738831996
2022,6698598.393771716
2023,14724703.583470061
2024,23465515.634480864
2025,35830208.12562559
2026,59168533.82690423
2027,81833638.89296602
2028,103656282.99065785
2029,124672609.02877782
2030,144947576.35771868
2031,164501660.14690268
2032,183336869.13678232
2033,201876884.5858112
2034,219327162.28607714
2035,235017560.05788714
2036,249280068.29363403
2037,261474579.78280678
2038,270900475.5104607
2039,278274954.9685191
2040,282043771.96077573
2041,282736770.4209048
2042,279769415.01233935
2043,275301340.39270407
2044,266863629.64760077
2045,258420421.50725776
2046,250940353.07575223
2047,242084166.87040102
2048,229749510.6612871
2049,212671250.5421992
2050,195592990.4231111
