year,costAnnualAgri
2020,0.0
2021,5435187.632856379
2022,13263287.247041065
2023,21058574.01137316
2024,38543020.47487556
2025,59195599.68373748
2026,81608846.52232504
2027,103348872.7256958
2028,124246437.96069661
2029,144337685.1361255
2030,163687573.60237533
2031,182316578.52886823
2032,200226708.65605685
2033,217841645.24239463
2034,234366844.07996956
2035,249132162.9890885
2036,262469592.3621443
2037,273739024.988626
2038,282239841.85358894
2039,288689242.44895625
2040,291532980.5785218
2041,291300900.1759598
2042,287408465.90470326
2043,282015312.422377
2044,275197690.87704074
2045,266900224.77308008
2046,256389060.15348446
2047,244153207.7179763
2048,226907389.95043194
2049,209661572.18288732
2050,192415754.41534248
