year,Total_ghgAnnual
2020,488000.0
2021,1365078.4319685
2022,2315664.991811208
2023,3337595.091294838
2024,4432571.931716686
2025,5598224.994730862
2026,6833832.1281642085
2027,8142384.62528024
2028,9514686.123503074
2029,10954431.228641255
2030,12466406.175854258
2031,14159785.219558325
2032,15927496.798281953
2033,17768880.340535287
2034,19678465.544115886
2035,21639783.385881536
2036,23651110.41079829
2037,25593097.847440924
2038,27523236.746703297
2039,29477263.863405168
2040,31432476.38810986
2041,33443178.41928632
2042,35465886.27580854
2043,37294884.71394275
2044,39053828.291796
2045,40000000.0
2046,40829066.66666667
2047,41525866.66666667
2048,42058133.33333333
2049,44178218.532265246
2050,45884799.67129542
