year,costAnnualAgri
2020,0.0
2021,2016395.1293782212
2022,4930645.65994406
2023,8772468.495314982
2024,13671168.356453385
2025,19638431.07484245
2026,26723896.63531473
2027,35094377.14708526
2028,44510283.71594163
2029,55142793.93157383
2030,67220718.26686129
2031,101209701.38880655
2032,134975167.4619134
2033,168512220.53923723
2034,201606958.3840593
2035,233566122.4176585
2036,264212706.604335
2037,305533407.6348858
2038,340722298.1046683
2039,371263117.4574262
2040,396131937.2634084
2041,417852986.6575967
2042,434040352.8521158
2043,429650038.26962805
2044,415748854.4751649
2045,401847670.68070173
2046,387946486.8862383
2047,374045303.09177506
2048,360144119.2973121
2049,346242935.50284874
2050,332341751.70838547
