year,purCO2LULUCF
2020,1.112
2021,3.7289139680315015
2022,5.950285272985475
2023,7.784237470267826
2024,9.271876466109452
2025,10.433408998397898
2026,11.257963409891321
2027,11.78894748496538
2028,12.069662098645214
2029,12.043268165333407
2030,11.79317718891647
2031,11.33847520336095
2032,10.694960892857438
2033,9.903134865909193
2034,8.993849150674606
2035,7.987561999348809
2036,6.988150784335193
2037,5.946985265027958
2038,4.908983523394358
2039,3.890577666963342
2040,2.9623690484497622
2041,2.053169843190691
2042,1.1413990384132227
2043,0.4547043383645999
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
