year,costAnnualAgri
2020,0.0
2021,1639594.3135135374
2022,6665872.749532556
2023,16935117.63194646
2024,28512272.903846238
2025,41878674.452812694
2026,60707856.302495
2027,81544849.47481519
2028,101926968.45947392
2029,133779863.49081443
2030,164582393.43471333
2031,194356290.1761242
2032,223518634.56783435
2033,251305599.61550876
2034,276623898.429909
2035,299962639.08505625
2036,318958267.1153543
2037,335216710.25377154
2038,347791528.2837896
2039,355125032.56118226
2040,355953455.1089987
2041,354819610.5246651
2042,351227188.74791586
2043,334737032.2917208
2044,317917613.0483195
2045,301098193.8049184
2046,284278774.56151736
2047,267459355.31811613
2048,250639936.07471505
2049,233820516.83131388
2050,217001097.5879126
