year,Total_ghgAnnual
2020,488000.0
2021,1370786.0319685
2022,2339314.7270145263
2023,3404995.86306551
2024,4546256.867223882
2025,5762424.33493544
2026,7083903.256775349
2027,8486819.181701288
2028,9947404.568021454
2029,11542031.834666599
2030,13206822.811083531
2031,14942224.796639048
2032,16751972.440475896
2033,18615098.46742414
2034,20520284.182658732
2035,22466604.667317856
2036,24369715.882331472
2037,26297781.401638705
2038,28225416.47660564
2039,30155722.33303666
2040,32037630.951550238
2041,33953230.156809315
2042,35900467.628253445
2043,37619428.99496874
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44024921.88131586
2050,46032305.4515986
