year,Total_costAnnual
2020,24.464000000000002
2021,131.09168617975877
2022,231.26413675047243
2023,303.38760959680076
2024,467.3832314732243
2025,647.9622551551475
2026,899.2379906997983
2027,1059.6747509830288
2028,1156.971169159874
2029,1243.8519049628808
2030,1311.4916973981187
2031,1358.4845609721447
2032,1383.5186098831027
2033,1386.8156438717706
2034,1367.7497992781136
2035,1326.459895145795
2036,1271.294772876327
2037,1196.414199960976
2038,1105.394828161886
2039,998.1130799047288
2040,883.9039561335907
2041,756.3582347448593
2042,610.4026568408912
2043,477.10202894610455
2044,375.96204226194743
2045,360.4795504674232
2046,344.99203146105197
2047,329.49786811097164
2048,313.9954439831031
2049,233.82051683131388
2050,217.00109758791257
