year,ghgAbateAnnualFMs
2020,488000.0
2021,1430238.1183622
2022,2444229.7588689197
2023,3515826.0644677393
2024,4645518.178106239
2025,5833797.242732
2026,7081154.4012926
2027,8388080.796735618
2028,9755067.57200864
2029,11182605.87005924
2030,12671186.833834998
2031,14221301.606283499
2032,15833441.330352321
2033,17504870.202094994
2034,19075637.258247197
2035,20698190.694862455
2036,22373021.65488835
2037,24100621.281272475
2038,25881480.716962397
2039,27716091.10490569
2040,29604943.588049956
2041,31548529.309342753
2042,33547339.41173167
2043,35601865.03816429
2044,37712597.331588194
2045,38827477.331588194
2046,39822357.331588194
2047,40658517.33158819
2048,41297237.33158819
2049,43758184.6404253
2050,45810356.43227728
