year,Total_costAnnual
2020,31.503999999999998
2021,160.14929865472348
2022,283.7827148676704
2023,371.9917418662764
2024,572.3772671578048
2025,797.596779832044
2026,1103.218598833646
2027,1298.6686458224242
2028,1418.1215534634052
2029,1519.6059872810547
2030,1600.641945726771
2031,1659.545280582996
2032,1694.8032233796707
2033,1705.130743025773
2034,1693.6931548639961
2035,1656.3809593555186
2036,1595.0930938036486
2037,1509.03152047837
2038,1400.4266547549205
2039,1278.029195797119
2040,1145.5235146553653
2041,1000.2059980831947
2042,839.6792376726903
2043,647.7900862400575
2044,465.2061660953394
2045,454.9127273829871
2046,444.6132560334213
2047,434.3058114882044
2048,423.98845402624147
2049,208.444762848703
2050,193.9333038888064
