year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15761465.32890059
2023,27684422.72237289
2024,41821417.59670665
2025,64760782.01730256
2026,86961585.89840695
2027,108489169.1442945
2028,129364610.42999029
2029,149275083.16827223
2030,168811483.82417777
2031,187749280.25876498
2032,205603116.82236356
2033,222440186.1811639
2034,238465342.06314787
2035,253680323.36096367
2036,267564014.15360805
2037,280239842.8999284
2038,291289140.0768126
2039,298420572.0275331
2040,301136250.94690806
2041,301349490.31502587
2042,299070567.01410425
2043,295513516.60808253
2044,281002057.648186
2045,266490598.68828934
2046,251979139.72839275
2047,237467680.7684962
2048,222956221.8085996
2049,208444762.848703
2050,193933303.8888064
