year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,29572655.446016014
2024,30908394.06056219
2025,35609165.218883075
2026,41249304.98514485
2027,47906261.74341234
2028,49771406.11125732
2029,51602387.140925325
2030,53435421.057899594
2031,55270527.81657291
2032,57107727.371338114
2033,58947039.67658804
2034,60788484.686715536
2035,62632082.3561133
2036,64477852.63917426
2037,66325815.49029123
2038,68175990.86385696
2039,70028398.71426435
2040,71883058.99590614
2041,73739991.66317514
2042,75599216.67046428
2043,77460753.97216623
2044,79324623.52267393
2045,81146826.49341856
2046,82964002.26648507
2047,84774533.70984256
2048,86576804.38924481
2049,0.0
2050,0.0
