year,Total_ghgAnnual
2020,488000.0
2021,1244325.5101065286
2022,2057786.0864322695
2023,2955470.148765207
2024,3927890.920790722
2025,4953854.062027919
2026,6035828.7207495775
2027,7169385.796464442
2028,8405061.0462269
2029,9697529.557581171
2030,11050850.84200768
2031,12463058.580138324
2032,13929133.873625794
2033,15425434.209038537
2034,16960590.152773984
2035,18509363.36359349
2036,20039970.61473319
2037,21582498.985526092
2038,23132274.019096144
2039,24696729.438563175
2040,26217667.895145267
2041,27760012.073936373
2042,29092552.142195642
2043,30459306.66666667
2044,31256746.66666667
2045,32000000.0
2046,32663253.333333336
2047,33220693.333333336
2048,33646506.666666664
2049,34970596.373374514
2050,36295707.6981448
