year,Total_costAnnual
2020,17.424000000000007
2021,112.67397133957283
2022,194.91566452427298
2023,255.09016520879962
2024,386.25935168772753
2025,528.1833745750107
2026,720.7709625833216
2027,842.244685191694
2028,918.4006268557687
2029,980.0892988407992
2030,1026.129424544588
2031,1055.2809377995998
2032,1066.4411076716285
2033,1060.7910963571449
2034,1037.15729122323
2035,997.535143456126
2036,945.4432027444483
2037,878.4419362405517
2038,797.8371876506972
2039,703.1602459935001
2040,603.7078489018684
2041,493.4120924039704
2042,401.3901982680728
2043,293.0698665646659
2044,281.3409057175359
2045,269.60921735882926
2046,257.87350721374503
2047,246.1324815769959
2048,234.3848473015167
2049,158.3174649307664
2050,145.25813773312981
