,S10,S07,S15,S27,S20,S04,S14,S22,S19,S09,S02,S06,S26,S17,S24,S08,S25,S23,S03,S11,S21,S16,S13,S18,S12,S05,S01
S10,1.000000,0.999980,0.999995,0.999985,0.999952,0.997013,0.999995,0.999987,0.999952,1.000000,0.996549,0.997020,0.999962,0.999995,0.999991,0.999980,0.999962,0.999991,0.999995,0.999995,0.999987,0.999987,0.999989,0.999991,0.999988,0.996549,0.996541
S07,0.999980,1.000000,0.999995,0.999989,0.999962,0.997024,0.999995,0.999991,0.999962,0.999980,0.996538,0.997016,0.999952,0.999992,0.999987,1.000000,0.999952,0.999987,0.999995,0.999995,0.999991,0.999991,0.999992,0.999987,0.999983,0.996523,0.996545
S15,0.999995,0.999995,1.000000,0.999992,0.999962,0.997024,1.000000,0.999994,0.999962,0.999995,0.996549,0.997023,0.999962,0.999998,0.999994,0.999995,0.999962,0.999994,1.000000,1.000000,0.999994,0.999994,0.999996,0.999994,0.999991,0.996541,0.996548
S27,0.999985,0.999989,0.999992,1.000000,0.999989,0.997025,0.999992,1.000000,0.999989,0.999985,0.996531,0.997024,0.999919,0.999995,0.999972,0.999989,0.999919,0.999972,0.999992,0.999992,1.000000,1.000000,0.999999,0.999972,0.999965,0.996524,0.996530
S20,0.999952,0.999962,0.999962,0.999989,1.000000,0.997005,0.999962,0.999986,1.000000,0.999952,0.996491,0.997005,0.999849,0.999970,0.999926,0.999962,0.999849,0.999926,0.999962,0.999962,0.999986,0.999986,0.999983,0.999926,0.999915,0.996484,0.996489
S04,0.997013,0.997024,0.997024,0.997025,0.997005,1.000000,0.997024,0.997025,0.997005,0.997013,0.987183,0.999996,0.996967,0.997024,0.997010,0.997024,0.996967,0.997010,0.997024,0.997024,0.997025,0.997025,0.997026,0.997010,0.997005,0.987171,0.987185
S14,0.999995,0.999995,1.000000,0.999992,0.999962,0.997024,1.000000,0.999994,0.999962,0.999995,0.996549,0.997023,0.999962,0.999998,0.999994,0.999995,0.999962,0.999994,1.000000,1.000000,0.999994,0.999994,0.999996,0.999994,0.999991,0.996541,0.996548
S22,0.999987,0.999991,0.999994,1.000000,0.999986,0.997025,0.999994,1.000000,0.999986,0.999987,0.996534,0.997025,0.999926,0.999996,0.999976,0.999991,0.999926,0.999976,0.999994,0.999994,1.000000,1.000000,1.000000,0.999976,0.999970,0.996527,0.996534
S19,0.999952,0.999962,0.999962,0.999989,1.000000,0.997005,0.999962,0.999986,1.000000,0.999952,0.996491,0.997005,0.999849,0.999970,0.999926,0.999962,0.999849,0.999926,0.999962,0.999962,0.999986,0.999986,0.999983,0.999926,0.999915,0.996484,0.996489
S09,1.000000,0.999980,0.999995,0.999985,0.999952,0.997013,0.999995,0.999987,0.999952,1.000000,0.996549,0.997020,0.999962,0.999995,0.999991,0.999980,0.999962,0.999991,0.999995,0.999995,0.999987,0.999987,0.999989,0.999991,0.999988,0.996549,0.996541
S02,0.996549,0.996538,0.996549,0.996531,0.996491,0.987183,0.996549,0.996534,0.996491,0.996549,1.000000,0.987185,0.996532,0.996545,0.996551,0.996538,0.996532,0.996551,0.996549,0.996549,0.996534,0.996534,0.996538,0.996551,0.996550,0.999996,0.999996
S06,0.997020,0.997016,0.997023,0.997024,0.997005,0.999996,0.997023,0.997025,0.997005,0.997020,0.987185,1.000000,0.996965,0.997023,0.997009,0.997016,0.996965,0.997009,0.997023,0.997023,0.997025,0.997025,0.997025,0.997009,0.997003,0.987181,0.987180
S26,0.999962,0.999952,0.999962,0.999919,0.999849,0.996967,0.999962,0.999926,0.999849,0.999962,0.996532,0.996965,1.000000,0.999951,0.999986,0.999952,1.000000,0.999986,0.999962,0.999962,0.999926,0.999926,0.999933,0.999986,0.999991,0.996523,0.996532
S17,0.999995,0.999992,0.999998,0.999995,0.999970,0.997024,0.999998,0.999996,0.999970,0.999995,0.996545,0.997023,0.999951,1.000000,0.999989,0.999992,0.999951,0.999989,0.999998,0.999998,0.999996,0.999996,0.999997,0.999989,0.999984,0.996538,0.996545
S24,0.999991,0.999987,0.999994,0.999972,0.999926,0.997010,0.999994,0.999976,0.999926,0.999991,0.996551,0.997009,0.999986,0.999989,1.000000,0.999987,0.999986,1.000000,0.999994,0.999994,0.999976,0.999976,0.999980,1.000000,1.000000,0.996543,0.996551
S08,0.999980,1.000000,0.999995,0.999989,0.999962,0.997024,0.999995,0.999991,0.999962,0.999980,0.996538,0.997016,0.999952,0.999992,0.999987,1.000000,0.999952,0.999987,0.999995,0.999995,0.999991,0.999991,0.999992,0.999987,0.999983,0.996523,0.996545
S25,0.999962,0.999952,0.999962,0.999919,0.999849,0.996967,0.999962,0.999926,0.999849,0.999962,0.996532,0.996965,1.000000,0.999951,0.999986,0.999952,1.000000,0.999986,0.999962,0.999962,0.999926,0.999926,0.999933,0.999986,0.999991,0.996523,0.996532
S23,0.999991,0.999987,0.999994,0.999972,0.999926,0.997010,0.999994,0.999976,0.999926,0.999991,0.996551,0.997009,0.999986,0.999989,1.000000,0.999987,0.999986,1.000000,0.999994,0.999994,0.999976,0.999976,0.999980,1.000000,1.000000,0.996543,0.996551
S03,0.999995,0.999995,1.000000,0.999992,0.999962,0.997024,1.000000,0.999994,0.999962,0.999995,0.996549,0.997023,0.999962,0.999998,0.999994,0.999995,0.999962,0.999994,1.000000,1.000000,0.999994,0.999994,0.999996,0.999994,0.999991,0.996541,0.996548
S11,0.999995,0.999995,1.000000,0.999992,0.999962,0.997024,1.000000,0.999994,0.999962,0.999995,0.996549,0.997023,0.999962,0.999998,0.999994,0.999995,0.999962,0.999994,1.000000,1.000000,0.999994,0.999994,0.999996,0.999994,0.999991,0.996541,0.996548
S21,0.999987,0.999991,0.999994,1.000000,0.999986,0.997025,0.999994,1.000000,0.999986,0.999987,0.996534,0.997025,0.999926,0.999996,0.999976,0.999991,0.999926,0.999976,0.999994,0.999994,1.000000,1.000000,1.000000,0.999976,0.999970,0.996527,0.996534
S16,0.999987,0.999991,0.999994,1.000000,0.999986,0.997025,0.999994,1.000000,0.999986,0.999987,0.996534,0.997025,0.999926,0.999996,0.999976,0.999991,0.999926,0.999976,0.999994,0.999994,1.000000,1.000000,1.000000,0.999976,0.999970,0.996527,0.996534
S13,0.999989,0.999992,0.999996,0.999999,0.999983,0.997026,0.999996,1.000000,0.999983,0.999989,0.996538,0.997025,0.999933,0.999997,0.999980,0.999992,0.999933,0.999980,0.999996,0.999996,1.000000,1.000000,1.000000,0.999980,0.999974,0.996530,0.996537
S18,0.999991,0.999987,0.999994,0.999972,0.999926,0.997010,0.999994,0.999976,0.999926,0.999991,0.996551,0.997009,0.999986,0.999989,1.000000,0.999987,0.999986,1.000000,0.999994,0.999994,0.999976,0.999976,0.999980,1.000000,1.000000,0.996543,0.996551
S12,0.999988,0.999983,0.999991,0.999965,0.999915,0.997005,0.999991,0.999970,0.999915,0.999988,0.996550,0.997003,0.999991,0.999984,1.000000,0.999983,0.999991,1.000000,0.999991,0.999991,0.999970,0.999970,0.999974,1.000000,1.000000,0.996541,0.996550
S05,0.996549,0.996523,0.996541,0.996524,0.996484,0.987171,0.996541,0.996527,0.996484,0.996549,0.999996,0.987181,0.996523,0.996538,0.996543,0.996523,0.996523,0.996543,0.996541,0.996541,0.996527,0.996527,0.996530,0.996543,0.996541,1.000000,0.999984
S01,0.996541,0.996545,0.996548,0.996530,0.996489,0.987185,0.996548,0.996534,0.996489,0.996541,0.999996,0.987180,0.996532,0.996545,0.996551,0.996545,0.996532,0.996551,0.996548,0.996548,0.996534,0.996534,0.996537,0.996551,0.996550,0.999984,1.000000
