,S10,S07,S15,S27,S20,S04,S14,S22,S19,S09,S02,S06,S26,S17,S24,S08,S25,S23,S03,S11,S21,S16,S13,S18,S12,S05,S01
S06,0.997970,0.984579,0.991965,0.991060,0.981629,0.988229,0.996146,0.982290,0.992346,0.997599,0.991029,1.000000,0.991941,0.994504,0.996009,0.988823,0.990209,0.992767,0.994371,0.981747,0.990593,0.990831,0.990557,0.992767,0.996456,0.991908,0.981747
S26,0.991413,0.976587,0.982111,0.982288,0.972591,0.982457,0.988670,0.973280,0.983764,0.993483,0.985013,0.991941,1.000000,0.988496,0.987836,0.981192,0.982264,0.983779,0.988021,0.972715,0.981283,0.982595,0.982118,0.983779,0.986343,0.989425,0.972715
S17,0.995934,0.990231,0.993496,0.992330,0.986770,0.991513,0.997930,0.986960,0.993985,0.997334,0.991300,0.994504,0.988496,1.000000,0.988379,0.993344,0.994376,0.992833,0.998352,0.986452,0.988774,0.992032,0.994330,0.992833,0.996694,0.987169,0.986452
S24,0.991907,0.979187,0.985222,0.984286,0.975462,0.979939,0.990955,0.976403,0.985865,0.993516,0.985481,0.996009,0.987836,0.988379,1.000000,0.983450,0.981938,0.988999,0.987621,0.975784,0.988262,0.987156,0.984614,0.988999,0.991796,0.986813,0.975784
S08,0.990958,0.999185,0.990277,0.994217,0.993817,0.991941,0.994804,0.993974,0.997336,0.991344,0.989408,0.988823,0.981192,0.993344,0.983450,1.000000,0.989913,0.988322,0.994802,0.994109,0.989985,0.992717,0.993370,0.988322,0.992692,0.981856,0.994109
S25,0.992922,0.987135,0.994605,0.994316,0.989005,0.997845,0.994331,0.989128,0.991111,0.992964,0.996481,0.990209,0.982264,0.994376,0.981938,0.989913,1.000000,0.997158,0.994981,0.990554,0.993696,0.992978,0.995375,0.997158,0.991520,0.987030,0.990554
S23,0.992854,0.984899,0.993665,0.993378,0.987394,0.995392,0.993396,0.987832,0.989628,0.993324,0.997123,0.992767,0.983779,0.992833,0.988999,0.988322,0.997158,1.000000,0.992562,0.989263,0.996662,0.993476,0.993720,1.000000,0.991878,0.988605,0.989263
S03,0.997103,0.991487,0.994390,0.994157,0.987877,0.992949,0.999183,0.988091,0.994305,0.996937,0.990987,0.994371,0.988021,0.998352,0.987621,0.994802,0.994981,0.992562,1.000000,0.987648,0.988438,0.992311,0.994447,0.992562,0.996861,0.986317,0.987648
S11,0.984082,0.994618,0.988896,0.994618,0.995967,0.993453,0.987596,0.996001,0.991879,0.984746,0.991461,0.981747,0.972715,0.986452,0.975784,0.994109,0.990554,0.989263,0.987648,1.000000,0.992070,0.992594,0.992907,0.989263,0.983894,0.982027,1.000000
S21,0.989591,0.987902,0.991123,0.994080,0.989703,0.994866,0.990866,0.990231,0.991898,0.990399,0.997300,0.990593,0.981283,0.988774,0.988262,0.989985,0.993696,0.996662,0.988438,0.992070,1.000000,0.994692,0.993327,0.996662,0.988381,0.988790,0.992070
S16,0.991279,0.990800,0.997121,0.997662,0.992403,0.993116,0.993405,0.992835,0.993938,0.993069,0.993878,0.990831,0.982595,0.992032,0.987156,0.992717,0.992978,0.993476,0.992311,0.992594,0.994692,1.000000,0.998692,0.993476,0.991051,0.989616,0.992594
S13,0.992358,0.991428,0.998385,0.998103,0.993823,0.994486,0.994786,0.994058,0.994421,0.993541,0.993767,0.990557,0.982118,0.994330,0.984614,0.993370,0.995375,0.993720,0.994447,0.992907,0.993327,0.998692,1.000000,0.993720,0.992260,0.988564,0.992907
S18,0.992854,0.984899,0.993665,0.993378,0.987394,0.995392,0.993396,0.987832,0.989628,0.993324,0.997123,0.992767,0.983779,0.992833,0.988999,0.988322,0.997158,1.000000,0.992562,0.989263,0.996662,0.993476,0.993720,1.000000,0.991878,0.988605,0.989263
S12,0.996545,0.989318,0.992619,0.990812,0.984057,0.987742,0.997933,0.984468,0.994737,0.996665,0.988989,0.996456,0.986343,0.996694,0.991796,0.992692,0.991520,0.991878,0.996861,0.983894,0.988381,0.991051,0.992260,0.991878,1.000000,0.985665,0.983894
S05,0.991698,0.978575,0.987449,0.988988,0.980812,0.987595,0.987441,0.981482,0.988006,0.992461,0.992652,0.991908,0.989425,0.987169,0.986813,0.981856,0.987030,0.988605,0.986317,0.982027,0.988790,0.989616,0.988564,0.988605,0.985665,1.000000,0.982027
S01,0.984082,0.994618,0.988896,0.994618,0.995967,0.993453,0.987596,0.996001,0.991879,0.984746,0.991461,0.981747,0.972715,0.986452,0.975784,0.994109,0.990554,0.989263,0.987648,1.000000,0.992070,0.992594,0.992907,0.989263,0.983894,0.982027,1.000000
