year,Total_ghgAnnual
2020,488000.0
2021,1424590.4319685
2022,2450285.932954795
2023,3708021.6522945524
2024,5082900.0672000265
2025,6543128.118259193
2026,8078212.783948006
2027,9689420.33542702
2028,11384924.301481232
2029,13163825.291341608
2030,15008958.697674103
2031,17015323.28665369
2032,19016200.62398327
2033,20975436.558110937
2034,22914356.275934502
2035,24891159.93978273
2036,26842911.898753013
2037,28853189.253242582
2038,30854477.806125127
2039,32707906.881962128
2040,34386745.23225601
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43735477.864332214
2050,45506841.46744033
