year,Total_costAnnual
2020,24.464000000000002
2021,129.8880462391545
2022,225.88457630597128
2023,304.9264934476491
2024,471.3951519026897
2025,646.7613038319053
2026,877.9903352338131
2027,1018.8958406581772
2028,1096.8090748320585
2029,1154.5366090129664
2030,1192.210474950224
2031,1213.1026701129592
2032,1213.6477470570621
2033,1196.805328615943
2034,1161.303134410091
2035,1101.5980885651807
2036,1023.914507765087
2037,920.1304903278487
2038,798.2903408645413
2039,669.6032399801987
2040,551.5535505184271
2041,434.4853119209308
2042,415.8008055502359
2043,397.1161276084914
2044,378.4296587854443
2045,359.7397805119881
2046,341.0448749453526
2047,322.34332495464696
2048,303.63351410674807
2049,220.33972480176067
2050,200.31290890433147
