year,costAnnualFMs
2020,0.0
2021,29239618.90365275
2022,30687503.559124745
2023,32137492.74180894
2024,33589608.40153742
2025,35043872.48814227
2026,36500306.95145564
2027,37958933.7413096
2028,39419774.80753624
2029,40882852.09996765
2030,42348187.568435945
2031,43815803.16277324
2032,45285720.83281161
2033,46757962.52838316
2034,48232550.199319996
2035,49709505.79545421
2036,51188851.26661791
2037,52670608.562643185
2038,54154799.633362114
2039,55641446.42860686
2040,57130570.898209445
2041,58622194.99200202
2042,60116340.659816675
2043,61613029.8514855
2044,63112284.516840585
2045,64565705.9444563
2046,66013597.4546261
2047,67454180.20211592
2048,68885676.10925509
2049,0.0
2050,0.0
