year,Total_costAnnual
2020,24.464000000000002
2021,138.744296155422
2022,241.47238778970885
2023,315.22506173788025
2024,480.9153018384913
2025,661.6902214798273
2026,915.3743897210219
2027,1077.092380053767
2028,1175.688055727124
2029,1258.2035629214813
2030,1323.0513722680053
2031,1368.8378397723102
2032,1394.362357153758
2033,1398.6516939692142
2034,1381.2275034554473
2035,1343.0563874864035
2036,1284.061560176505
2037,1207.042055785152
2038,1115.9908804186111
2039,1010.2068222265073
2040,897.9913376447328
2041,772.5143442955573
2042,633.1892177953712
2043,480.50021170587866
2044,323.7944506341852
2045,310.65992409815317
2046,297.51986764467534
2047,284.3725024285175
2048,271.216050372009
2049,187.7424262991063
2050,173.15447833545855
