year,Total_ghgAnnual
2020,488000.0
2021,1666764.6349650759
2022,2944208.3337107142
2023,4316910.974224961
2024,5785132.202210454
2025,7341764.432605118
2026,8997242.15335917
2027,10728803.453961935
2028,12548380.413228951
2029,14461107.838513738
2030,16584373.194806118
2031,18794163.50324008
2032,21049742.968441352
2033,23212498.83594109
2034,25308389.680416256
2035,27380551.83570738
2036,29412391.682244785
2037,31227229.32569737
2038,32711278.855438963
2039,34046300.0
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44324434.00030879
2050,46194024.627387375
