year,purCO2LULUCF
2020,1.112
2021,3.4329353650349255
2022,5.345391666289288
2023,6.872322359108374
2024,8.03300113112288
2025,8.854068900728219
2026,9.344624513307501
2027,9.546963212704735
2028,9.468686253437717
2029,9.124192161486265
2030,8.415626805193881
2031,7.486536496759918
2032,6.3971903648919834
2033,5.305734497392242
2034,4.205743652917079
2035,3.0736148309592863
2036,1.9454749844218817
2037,1.017537340969291
2038,0.42312114456103345
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
