year,costAnnualAgri
2020,0.0
2021,22695091.874854635
2022,44987395.32419118
2023,66882863.87521893
2024,88430638.68790849
2025,109591540.06625491
2026,130728848.26019476
2027,151771661.5682833
2028,172216371.1104809
2029,192398514.73004112
2030,224208230.03504333
2031,254711761.45313415
2032,283318516.2281183
2033,298517985.3240047
2034,310954491.47656983
2035,321270195.2715649
2036,329070878.1670616
2037,323598953.09505695
2038,312294882.3272595
2039,300990811.5594621
2040,289686740.7916645
2041,278382670.0238672
2042,267078599.25606975
2043,255774528.48827225
2044,244470457.72047484
2045,233166386.9526775
2046,221862316.1848801
2047,210558245.4170827
2048,199254174.64928523
2049,187950103.88148776
2050,176646033.1136902
