year,costAnnualFMs
2020,0.0
2021,31581766.102009058
2022,33155583.58651453
2023,34732156.08846143
2024,36311512.3421754
2025,37893681.08198209
2026,39478691.042207174
2027,41066570.95717628
2028,42657349.56121512
2029,44251055.58864929
2030,45847717.77380448
2031,47447364.85100635
2032,49050025.55458056
2033,50655728.618852705
2034,52264502.778148524
2035,53876376.76679364
2036,55491379.319113694
2037,57109539.16943435
2038,58730885.052081324
2039,60355445.70138019
2040,61983249.85165662
2041,63614326.23723634
2042,65190668.62248519
2043,66766805.408985995
2044,68340793.42097175
2045,69910690.37210743
2046,71474554.84771588
2047,73030446.28742914
2048,74576424.96825148
2049,0.0
2050,0.0
