year,costAnnualFMs
2020,0.0
2021,22062914.847870506
2022,24167922.752684504
2023,26838549.42209574
2024,30136753.563355997
2025,34124493.88371717
2026,38863729.09043108
2027,44416417.890749484
2028,50844518.99192434
2029,58209991.10120736
2030,66574792.92585049
2031,76000883.1731055
2032,86550220.55022423
2033,98284763.76445848
2034,111266471.52306017
2035,125557302.53328109
2036,141219215.50237307
2037,158314169.13758796
2038,176857534.75227594
2039,196948163.07271153
2040,218651938.49473247
2041,242030598.72075522
2042,267145881.45319667
2043,294059524.39447296
2044,322833265.2470008
2045,346582600.3450022
2046,370054724.1123482
2047,378177623.07187104
2048,386266650.8098934
2049,0.0
2050,0.0
