year,Total_costAnnual
2020,26.6112
2021,146.28097998487175
2022,262.9380233369843
2023,349.63258235382284
2024,533.9125410508242
2025,735.6025778827393
2026,1011.2508403124972
2027,1193.4876400502385
2028,1311.7367212640402
2029,1416.4536506274942
2030,1506.2500991378315
2031,1579.9427785420667
2032,1636.5534782523898
2033,1675.3443632127505
2034,1696.0865099439918
2035,1700.0110818540154
2036,1687.3221894606259
2037,1661.1173877562996
2038,1625.7277923346592
2039,1580.7780694191615
2040,1534.9293123482926
2041,1481.7367349172353
2042,1420.7098285188529
2043,1343.1634846888617
2044,1237.2508978513806
2045,1099.2590473859439
2046,921.2923912828805
2047,698.9935079624795
2048,615.4581578951031
2049,210.9685709652726
2050,192.74563484533522
