year,ghgAbateAnnualFMs
2020,390400.0
2021,1028318.7455748001
2022,1704313.1725792796
2023,2418710.70964516
2024,3171838.78540416
2025,3964024.8284879997
2026,4795596.267528401
2027,5666880.531157079
2028,6578205.048005761
2029,7529897.246706162
2030,8522284.555890001
2031,9555694.404189
2032,10630454.22023488
2033,11746891.432659362
2034,12905333.470094161
2035,14106107.761171002
2036,15349541.734521605
2037,16635962.81877768
2038,17965232.62101446
2039,19338073.944985308
2040,20754856.807679314
2041,22215908.63772822
2042,23721556.863763724
2043,25272128.914417565
2044,26867952.218321443
2045,28450747.08350563
2046,30063347.727441166
2047,31584880.495496646
2048,32431578.258822083
2049,33635536.83571753
2050,34040945.63318713
