year,Total_ghgAnnual
2020,488000.0
2021,1336665.1377811914
2022,2244420.411635714
2023,3239878.3023228333
2024,4301649.055005737
2025,5423644.895026159
2026,6605866.4659886295
2027,7848168.745791678
2028,9148424.124112185
2029,10509609.888234103
2030,11933628.157086562
2031,13420193.704334548
2032,14962413.182814788
2033,16561933.550991079
2034,18223486.08287783
2035,19947129.88488026
2036,21733748.40768387
2037,23583750.93707833
2038,25456298.225478414
2039,27343986.68880866
2040,29234997.238864545
2041,31170814.92725752
2042,33091952.734513007
2043,35064079.35143202
2044,37070156.28835525
2045,39124158.492358394
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43900208.369303875
2050,45684125.187294826
