year,Total_costAnnual
2020,29.356800000000003
2021,159.93628557475603
2022,285.6704228237769
2023,373.51086586413004
2024,573.6919438357482
2025,789.1993238891256
2026,1080.0233414142897
2027,1262.7908175401021
2028,1371.3642933855865
2029,1459.8227742469742
2030,1526.0310563645194
2031,1568.329110466436
2032,1585.0356763644977
2033,1574.6323619492434
2034,1543.0665548544275
2035,1486.6218383812227
2036,1405.0013292878934
2037,1301.6624639337122
2038,1184.1511016483353
2039,1052.7976741797156
2040,911.7082477265586
2041,752.2551353396146
2042,586.8824176701912
2043,430.81155872873546
2044,420.41952324562504
2045,410.02407837321437
2046,399.62360626800046
2047,389.2164897983723
2048,378.8011125304961
2049,184.3856524864255
2050,170.20856575700722
