year,costAnnualFMs
2020,0.0
2021,27434484.16319006
2022,29793878.033965312
2023,32716878.065244652
2024,36265221.959444635
2025,40510246.69431631
2026,45506766.31554073
2027,51316739.530369714
2028,58002125.046055056
2029,65624881.56984863
2030,74246967.80900228
2031,83930342.47076783
2032,94736964.26239707
2033,106728791.89114186
2034,119967784.06425409
2035,134515899.4889855
2036,150435096.872588
2037,167787334.92231345
2038,186634572.34541357
2039,207038767.84914023
2040,229045668.24643418
2041,252685347.47753367
2042,278061649.2150517
2043,305236311.16140467
2044,334271071.0190093
2045,365227666.4902819
2046,373422144.4172856
2047,381618536.03387654
2048,389786707.28076446
2049,0.0
2050,0.0
