year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,31486800.16123258
2024,35519222.16985729
2025,40413564.40235811
2026,46247275.242799826
2027,53097803.07524723
2028,61042596.28376512
2029,70159103.25241832
2030,80524772.36527155
2031,92217052.00638965
2032,99432512.07680982
2033,102601963.42574815
2034,105773547.47956397
2035,108947284.19265018
2036,112123193.5193996
2037,115301295.41420487
2038,118481609.83145897
2039,121664156.72555472
2040,124848956.0508849
2041,128036027.7618423
2042,131225391.8128198
2043,134417068.15821016
2044,137611076.75240624
2045,140763418.76683915
2046,143910733.5835941
2047,147051404.07063997
2048,150183813.79373065
2049,0.0
2050,0.0
