year,Total_ghgAnnual
2020,488000.0
2021,1413133.081922838
2022,2435025.4789377055
2023,3547573.0286159036
2024,4730521.7236532
2025,5984342.02861917
2026,7304122.657991936
2027,8696595.795823682
2028,10160352.73566357
2029,11686576.47207242
2030,13279833.388746353
2031,14941083.737969207
2032,16603204.338257968
2033,18277378.559079956
2034,20012586.089772813
2035,21809704.5705274
2036,23659934.831600033
2037,25555150.660693552
2038,27490242.097955283
2039,29458914.19686005
2040,31406811.74205639
2041,33367373.039711405
2042,35336146.453219846
2043,37311989.75548008
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44073770.81385931
2050,45848506.136938706
