Year,GHG_Target_LULUCF
2020,1.6
2021,5.099700000000001
2022,8.289600000000002
2023,11.189233333333336
2024,13.818133333333334
2025,16.195833333333336
2026,18.341866666666668
2027,20.27576666666667
2028,22.01706666666667
2029,23.585300000000004
2030,25.0
2031,26.2807
2032,27.44693333333333
2033,28.51823333333333
2034,29.514133333333334
2035,30.454166666666666
2036,31.357866666666663
2037,32.24476666666666
2038,33.1344
2039,34.0463
2040,35.0
2041,36.0064
2042,37.04186666666666
2043,38.074133333333336
2044,39.070933333333336
2045,40.0
2046,40.82906666666667
2047,41.525866666666666
2048,42.05813333333333
2049,42.3936
2050,42.5
