year,Total_costAnnual
2020,24.464000000000002
2021,136.41163499714816
2022,239.02373422300332
2023,312.6602244420873
2024,478.23408749751604
2025,659.1739288345918
2026,912.1780249932906
2027,1072.6233759950117
2028,1170.824028399569
2029,1252.9060134980316
2030,1317.2796936717668
2031,1362.5492008326003
2032,1387.511580390697
2033,1391.191126656469
2034,1373.1068815914234
2035,1334.2226922838572
2036,1274.4588666590812
2037,1196.6113730567304
2038,1104.6699831474714
2039,997.9300728611172
2040,884.6894988514114
2041,758.114381080201
2042,617.6140887418852
2043,487.4683122103216
2044,331.5201214485673
2045,319.14733188045153
2046,306.7695151146578
2047,294.38505401915495
2048,281.9923321596969
2049,184.4840360306928
2050,170.35589135835772
