year,costAnnualAgri
2020,0.0
2021,2135549.880682316
2022,4258969.524306798
2023,9172779.851519113
2024,14876860.523968095
2025,20968604.9017349
2026,26884338.232933924
2027,32593533.37014239
2028,38111530.59524943
2029,43449958.23592986
2030,48600333.83791927
2031,53587437.24574762
2032,58382488.27226258
2033,62855798.981584
2034,67069481.66831762
2035,71064712.24838912
2036,74840033.29248959
2037,78394594.71478076
2038,81717923.83303446
2039,84723616.47302397
2040,87050783.25183126
2041,88532643.72192298
2042,89836950.38728231
2043,90718747.127524
2044,91426170.04204415
2045,91073940.29989101
2046,90381969.71482424
2047,86709275.976237
2048,82392348.82197791
2049,78075421.66771874
2050,73758494.51345967
