year,Total_ghgAnnual
2020,390400.0
2021,1201049.5101065286
2022,2078190.6438302256
2023,3048388.671959075
2024,4102418.3926784587
2025,5221232.8470408125
2026,6403006.420252252
2027,7650648.548418359
2028,8955116.747550646
2029,10319809.258904917
2030,11753162.543331426
2031,13253767.749150207
2032,14816671.924182873
2033,16441508.222436234
2034,18125347.98673744
2035,19851067.624844316
2036,21617354.070884313
2037,23400154.353798814
2038,25173296.29226023
2039,26952657.886996493
2040,28691559.89339607
2041,30461914.999675762
2042,32241020.237743177
2043,34041645.167988844
2044,35885913.26392968
2045,37707986.062677525
2046,39515007.3478408
2047,41211435.57000789
2048,42058133.33333333
2049,43262091.910228774
2050,43667500.707698375
