year,Total_costAnnual
2020,24.464000000000002
2021,131.23194457621054
2022,229.13502551134565
2023,295.87573260870187
2024,453.39811216665987
2025,626.8034846409154
2026,868.1281691405454
2027,1020.5409638607263
2028,1111.166053879523
2029,1201.2324392630605
2030,1270.8882236540446
2031,1320.9007226090896
2032,1349.9359128299477
2033,1362.339333880138
2034,1357.513845493006
2035,1336.371144740534
2036,1293.6436016846658
2037,1237.4429834814107
2038,1155.6187987695298
2039,1053.4784048661281
2040,934.5610273135957
2041,800.0615749158569
2042,663.5632248349423
2043,523.2642551284126
2044,504.3583182126131
2045,485.4489719075136
2046,466.5345983696105
2047,447.6135804672932
2048,428.68430176672814
2049,345.10532921454455
2050,324.8590528388607
