year,ghgAbateAnnualFMs
2020,488000.0
2021,959119.0591811001
2022,1452938.87943446
2023,1969705.0322338697
2024,2509663.0890531195
2025,3073058.6213660003
2026,3660137.2006463
2027,4271144.398367809
2028,4906325.78600432
2029,5565926.93502962
2030,6250193.416917499
2031,6959370.80314175
2032,7693704.665176161
2033,8453440.574494522
2034,9238824.10257062
2035,10050100.82087825
2036,10887516.3008912
2037,11751316.114083258
2038,12641745.83192822
2039,13559051.02589987
2040,14503477.267472
2041,15475270.128118401
2042,16180915.826564472
2043,16800275.826564476
2044,17398355.826564476
2045,17955795.826564476
2046,18453235.826564476
2047,18871315.826564472
2048,19190675.826564472
2049,20366885.180184815
2050,21328832.334388707
