year,ghgAbateAnnualFMs
2020,488000.0
2021,1430238.1183622
2022,2417877.7588689197
2023,3451410.0644677393
2024,4581102.17810624
2025,5769381.242732
2026,7016738.4012926
2027,8322337.544126313
2028,9592700.319399333
2029,10911902.617449936
2030,12280435.581225693
2031,13698790.353674194
2032,15167458.077743016
2033,16686929.896379735
2034,18257696.952531934
2035,19880250.389147196
2036,21555081.349173095
2037,23282680.97555721
2038,25063540.411247134
2039,26898150.799190436
2040,27702875.337532774
2041,28553662.613050222
2042,29334090.021195386
2043,30105490.51346959
2044,30786787.330323
2045,31273503.281390697
2046,31702213.144990694
2047,32142635.0085907
2048,32499590.989619218
2049,32835057.65628589
2050,33270563.159687817
