year,purCO2LULUCF
2020,0.7920000000000003
2021,2.8354344898934722
2022,4.573632339067732
2023,5.995654943401463
2024,7.126354171375947
2025,8.000403648605419
2026,8.635255656550425
2027,9.043627425772055
2028,9.196615226639768
2029,9.158733381952166
2030,8.937172097525654
2031,8.54896689170687
2032,8.014697383340875
2033,7.350357085087511
2034,6.5745013207863
2035,5.719880349346095
2036,4.803433903306102
2037,3.864841620391589
2038,2.9454365270403464
2039,2.047859744561908
2040,1.2320101412453965
2041,0.504166734925942
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
